task_id,repo,external_id,origin,title,branch,pr_number,category,sub_reason,last_error,push_failures,no_code_reroutes,attempts,agent,model,created_at
29840,gabrielkoerich/orch,1347,github,feat: weight-threshold skip for pre-emptive agent routing,gh-issue-1347-feat-weight-threshold-skip-for-pre-empti,,B,GitHub task with no errors but no PR - commits may exist locally but not pushed,,0,0,1,opencode,opencode/nemotron-3-super-free,2026-03-30T23:39:22Z
29831,gabrielkoerich/orch,1345,github,Close PR and open a new issue proposing weight-threshold on top of main,gh-issue-1345-close-pr-and-open-a-new-issue-proposing,,A,Legitimate non-code completion (agent reported no code changes),agent completed without code changes,0,0,1,claude,haiku,2026-03-30T23:37:32Z
29456,gabrielkoerich/orch,1336,github,Circuit breaker for credit exhaustion events (out_of_credits / org_level_disabled),gh-issue-1336-circuit-breaker-for-credit-exhaustion-ev,,B,GitHub task with no errors but no PR - commits may exist locally but not pushed,,0,0,2,claude,sonnet,2026-03-30T22:13:17Z
29124,gabrielkoerich/orch,1325,github,Implement pre-emptive agent health check and skip degraded agents during routing,gh-issue-1325-implement-pre-emptive-agent-health-check,,B,GitHub task with no errors but no PR - commits may exist locally but not pushed,,0,0,2,opencode,opencode/qwen3.6-plus-free,2026-03-30T21:19:41Z
29015,gabrielkoerich/orch,internal:29015,internal,Self-improvement: debug agent errors and fix root causes,internal-29015-self-improvement-debug-agent-errors-and,,A,Internal task succeeded after reroutes (likely research/analysis only),"claude rate limit: 1319](https://github.com/gabrielkoerich/orch/issues/1319)
- 3 batches of 3-4 reviews dispatched at the **exact same second**, all hitting claude:opus rate limit
- 11 wasted review r",0,0,2,opencode,opencode/qwen3.6-plus-free,2026-03-30T21:00:06Z
28721,gabrielkoerich/orch,internal:28721,internal,Code review,internal-28721-code-review,,B,Agent failed after reroutes (final: rate_limit),"kimi rate limit: ,""content"":[{""type"":""text"",""text"":""Failed to authenticate. API Error: 403 {\""error\"":{\""type\"":\""permission_error\"",\""message\"":\""You've reached your usage limit for this billing cycl",0,0,3,kimi,opus,2026-03-30T20:00:06Z
28114,gabrielkoerich/orch,internal:28114,internal,Code development: find improvements and create tasks,internal-28114-code-development-find-improvements-and-c,,A,Internal task (likely research/analysis only),,0,0,1,opencode,opencode/nemotron-3-super-free,2026-03-30T18:01:35Z
27754,gabrielkoerich/orch,internal:27754,internal,Code review,internal-27754-code-review,,A,Internal task (likely research/analysis only),,0,0,1,opencode,github-copilot/gpt-5-mini,2026-03-30T17:00:57Z
27654,gabrielkoerich/orch,internal:27654,internal,Code development: find improvements and create tasks,internal-27654-code-development-find-improvements-and-c,,A,Internal task (likely research/analysis only),,0,0,1,claude,opus,2026-03-30T15:53:20Z
27645,gabrielkoerich/bean,internal:27645,internal,Trading scan: discover setups from top coins + trending,internal-27645-trading-scan-discover-setups-from-top-co,,A,Internal task (likely research/analysis only),,0,0,1,claude,sonnet,2026-03-30T15:22:49Z
27046,gabrielkoerich/orch,1303,github,"bug: billing-cycle rate limits (kimi) use short cooldowns, causing repeated failures",gh-issue-1303-bug-billing-cycle-rate-limits-kimi-use-s,,B,GitHub task with no errors but no PR - commits may exist locally but not pushed,,0,0,1,opencode,github-copilot/gpt-5-mini,2026-03-30T11:30:53Z
27014,gabrielkoerich/orch,1299,github,bug: router LLM fails with kimi/minimax — CLI outputs system init JSON instead of routing result,gh-issue-1299-bug-router-llm-fails-with-kimi-minimax-c,,B,GitHub task with no errors but no PR - commits may exist locally but not pushed,,0,0,1,opencode,github-copilot/gpt-5-mini,2026-03-30T11:26:19Z
26965,gabrielkoerich/orch,internal:26965,internal,Self-improvement: debug agent errors and fix root causes,internal-26965-self-improvement-debug-agent-errors-and,,A,Internal task succeeded after reroutes (likely research/analysis only),"claude rate limit: hould either filter NDJSON events or only use claude for routing

### Other Observations (already tracked)

- **#1292** (in_progress): False positive rate limit detection — agent ou",0,0,2,opencode,github-copilot/gpt-5-mini,2026-03-30T11:18:34Z
26797,gabrielkoerich/bean,internal:26797,internal,Trading scan: discover setups from top coins + trending,internal-26797-trading-scan-discover-setups-from-top-co,,A,Internal task (likely research/analysis only),,0,0,1,opencode,github-copilot/gpt-5-mini,2026-03-30T09:00:05Z
26664,gabrielkoerich/orch,1290,github,bug: store_increment silently returns 0 on failure — push failure counter inaccurate,gh-issue-1290-bug-store-increment-silently-returns-0-o,,B,GitHub task with no errors but no PR - commits may exist locally but not pushed,,0,0,1,opencode,github-copilot/gpt-5-mini,2026-03-30T08:22:52Z
26618,gabrielkoerich/orch,internal:26618,internal,Code review,internal-26618-code-review,,A,Internal task (likely research/analysis only),,0,0,1,minimax,opus,2026-03-30T08:00:06Z
26374,gabrielkoerich/orch,internal:26374,internal,Code development: find improvements and create tasks,internal-26374-code-development-find-improvements-and-c,,A,Internal task (likely research/analysis only),,0,0,1,opencode,github-copilot/gpt-5-mini,2026-03-30T06:00:05Z
25958,gabrielkoerich/bean,internal:25958,internal,Trading update: manage positions and update prices,internal-25958-trading-update-manage-positions-and-upda,,A,Internal task (likely research/analysis only),,0,0,1,minimax,opus,2026-03-30T02:34:56Z
25524,gabrielkoerich/bean,internal:25524,internal,Daily evening retrospective: optimize agent workflows,internal-25524-daily-evening-retrospective-optimize-age,,A,Internal task (likely research/analysis only),,0,0,1,minimax,opus,2026-03-29T23:00:06Z
25523,gabrielkoerich/orch,internal:25523,internal,Daily evening retrospective,internal-25523-daily-evening-retrospective,,A,Internal task (likely research/analysis only),,0,0,1,opencode,github-copilot/gpt-5-mini,2026-03-29T23:00:05Z
25332,gabrielkoerich/bean,internal:25332,internal,Trading update: manage positions and update prices,internal-25332-trading-update-manage-positions-and-upda,,A,Internal task (likely research/analysis only),,0,0,1,minimax,opus,2026-03-29T21:32:53Z
25256,gabrielkoerich/orch,1287,github,bug: router LLM timeout & pool exhaustion leads to empty model selection (model_for_complexity returns None),gh-issue-1287-bug-router-llm-timeout-pool-exhaustion-l,,B,GitHub task with no errors but no PR - commits may exist locally but not pushed,,0,0,2,opencode,github-copilot/gpt-5-mini,2026-03-29T21:08:49Z
25253,gabrielkoerich/orch,1285,github,bug: kimi billing-cycle rate limits flood review runs; cooldown too short,gh-issue-1285-bug-kimi-billing-cycle-rate-limits-flood,,B,GitHub task with no errors but no PR - commits may exist locally but not pushed,,0,0,1,minimax,opus,2026-03-29T21:07:49Z
25244,gabrielkoerich/orch,internal:25244,internal,Self-improvement: debug agent errors and fix root causes,internal-25244-self-improvement-debug-agent-errors-and,,A,Internal task (likely research/analysis only),,0,0,1,opencode,github-copilot/gpt-5-mini,2026-03-29T21:00:07Z
25105,gabrielkoerich/orch,internal:25105,internal,Code review,internal-25105-code-review,,A,Internal task (likely research/analysis only),,0,0,1,claude,sonnet,2026-03-29T20:00:07Z
24514,gabrielkoerich/orch,1271,github,bug: engine marks code tasks as done when agent reports success but creates no PR,gh-issue-1271-bug-engine-marks-code-tasks-as-done-when,,A,Legitimate non-code completion (agent reported no code changes),agent completed without code changes,0,0,2,claude,sonnet,2026-03-29T18:41:45Z
24471,gabrielkoerich/orch,internal:24471,internal,Code development: find improvements and create tasks,internal-24471-code-development-find-improvements-and-c,,A,Internal task succeeded after reroutes (likely research/analysis only),"codex rate limit: You've hit your usage limit. Upgrade to Pro (https://chatgpt.com/explore/pro), visit https://chatgpt.com/codex/settings/usage to purchase more credits or try again at Apr 2nd, 2026 1",0,0,2,opencode,github-copilot/gpt-5-mini,2026-03-29T18:05:52Z
24454,gabrielkoerich/bean,internal:24454,internal,Trading update: manage positions and update prices,internal-24454-trading-update-manage-positions-and-upda,,A,Internal task (likely research/analysis only),,0,0,1,minimax,opus,2026-03-29T17:30:06Z
24406,gabrielkoerich/orch,internal:24406,internal,Code review,internal-24406-code-review,,A,Internal task (likely research/analysis only),,0,0,1,opencode,github-copilot/gpt-5-mini,2026-03-29T17:00:06Z
24230,gabrielkoerich/orch,internal:24230,internal,Code development: find improvements and create tasks,internal-24230-code-development-find-improvements-and-c,,A,Internal task (likely research/analysis only),,0,0,1,opencode,opencode/mimo-v2-pro-free,2026-03-29T15:00:07Z
24198,gabrielkoerich/bean,internal:24198,internal,Trading update: manage positions and update prices,internal-24198-trading-update-manage-positions-and-upda,,A,Internal task (likely research/analysis only),,0,0,1,minimax,opus,2026-03-29T14:30:06Z
24136,gabrielkoerich/bean,internal:24136,internal,Trading update: manage positions and update prices,internal-24136-trading-update-manage-positions-and-upda,,A,Internal task (likely research/analysis only),,0,0,1,minimax,opus,2026-03-29T13:30:06Z
24074,gabrielkoerich/bean,internal:24074,internal,Trading update: manage positions and update prices,internal-24074-trading-update-manage-positions-and-upda,,A,Internal task (likely research/analysis only),,0,0,1,minimax,opus,2026-03-29T12:30:07Z
24020,gabrielkoerich/orch,1261,github,bug: github-copilot namespace is fundamentally unreliable for opencode — 87% failure rate on gpt-5.4-mini,gh-issue-1261-bug-github-copilot-namespace-is-fundamen,,B,Agent succeeded after reroutes but no PR created (work may be lost),"opencode exit 0: , rerouted to minimax",0,0,2,minimax,opus,2026-03-29T12:05:42Z
23775,gabrielkoerich/orch,1257,github,bug: user config model_map has stale github-copilot/* models after fix #1172 — every opencode medium/complex task burns 2 silent-failure attempts,gh-issue-1257-bug-user-config-model-map-has-stale-gith,,B,GitHub task with no errors but no PR - commits may exist locally but not pushed,,0,0,1,,,2026-03-29T11:39:20Z
23761,gabrielkoerich/orch,1248,github,bug: reset_failure_counters zeroes auto_unblock_count — CI auto-recovery in handle_review_changes can fire on every review cycle,gh-issue-1248-bug-reset-failure-counters-zeroes-auto-u,,B,GitHub task with no errors but no PR - commits may exist locally but not pushed,,0,0,2,minimax,opus,2026-03-29T11:35:51Z
23758,gabrielkoerich/orch,1252,github,bug: next_round_robin_agent last-resort fallback picks cooled agents — billing-exhausted kimi selected for review when all non-excluded agents are unavailable,gh-issue-1252-bug-next-round-robin-agent-last-resort-f,,B,GitHub task with no errors but no PR - commits may exist locally but not pushed,,0,0,2,minimax,opus,2026-03-29T11:35:51Z
23649,gabrielkoerich/orch,internal:23649,internal,Self-improvement: debug agent errors and fix root causes,internal-23649-self-improvement-debug-agent-errors-and,,A,Internal task succeeded after reroutes (likely research/analysis only),"claude rate limit: 

**3 root causes identified and filed:**

### #1253 — Kimi billing-cycle cooldown is 24h (insufficient for monthly cycle)
- **Evidence**: 9+ kimi `rate_limit` records in 12h, 5 tas",0,0,3,minimax,opus,2026-03-29T11:00:09Z
23583,gabrielkoerich/bean,internal:23583,internal,Trading update: manage positions and update prices,internal-23583-trading-update-manage-positions-and-upda,,B,Agent silent exit 0 (work likely lost),"opencode exit 0: , no fallback agents",0,0,1,claude,sonnet,2026-03-29T10:47:14Z
23565,gabrielkoerich/bean,internal:23565,internal,Morning briefing: daily focus plan,internal-23565-morning-briefing-daily-focus-plan,,B,Agent silent exit 0 (work likely lost),"opencode exit 0: , no fallback agents",0,0,2,claude,sonnet,2026-03-29T10:45:09Z
23562,gabrielkoerich/orch,internal:23562,internal,Code development: find improvements and create tasks,internal-23562-code-development-find-improvements-and-c,,B,Agent silent exit 0 (work likely lost),"opencode exit 0: , no fallback agents",0,0,2,claude,sonnet,2026-03-29T09:16:15Z
23561,gabrielkoerich/orch,internal:23561,internal,Code review,internal-23561-code-review,,B,Agent silent exit 0 (work likely lost),"opencode exit 0: , no fallback agents",0,0,2,claude,sonnet,2026-03-29T09:16:15Z
23386,gabrielkoerich/bean,internal:23386,internal,Daily evening retrospective: optimize agent workflows,internal-23386-daily-evening-retrospective-optimize-age,,B,Agent silent exit 0 (work likely lost),"opencode exit 0: , no fallback agents",0,0,1,claude,sonnet,2026-03-28T23:00:10Z
22971,gabrielkoerich/orch,1241,github,"bug: channel thread bindings never cleared, chats stuck on first task",gh-issue-1241-bug-channel-thread-bindings-never-cleare,,B,Agent silent exit 0 (work likely lost),"opencode exit 0: , no fallback agents",0,0,1,opencode,github-copilot/gpt-5-mini,2026-03-28T22:24:38Z
22213,gabrielkoerich/orch,internal:22213,internal,Self-improvement: debug agent errors and fix root causes,internal-22213-self-improvement-debug-agent-errors-and,,B,Agent silent exit 0 (work likely lost),"opencode exit 0: , no fallback agents",0,0,2,codex,gpt-5.3-codex,2026-03-28T21:00:07Z
21971,gabrielkoerich/orch,internal:21971,internal,Code review,internal-21971-code-review,,B,Agent silent exit 0 (work likely lost),"opencode exit 0: , no fallback agents",0,0,1,codex,gpt-5.2-codex,2026-03-28T20:31:25Z
21824,gabrielkoerich/bean,internal:21824,internal,Trading update: manage positions and update prices,internal-21824-trading-update-manage-positions-and-upda,,B,"Unclassified: claude network error: "":0,""web_fetch_requests"":0},""service_tier"":""standard"",""cache_creation"":{""ephem","claude network error: "":0,""web_fetch_requests"":0},""service_tier"":""standard"",""cache_creation"":{""ephemeral_1h_input_tokens"":0,""ephemeral_5m_input_tokens"":0},""inference_geo"":"""",""iterations"":[],""speed"":""s",0,0,1,claude,sonnet,2026-03-28T19:30:17Z
21448,gabrielkoerich/bean,internal:21448,internal,Trading update: manage positions and update prices,internal-21448-trading-update-manage-positions-and-upda,,A,Internal task (likely research/analysis only),,0,0,1,claude,opus,2026-03-28T18:30:03Z
21369,gabrielkoerich/orch,internal:21369,internal,Code development: find improvements and create tasks,internal-21369-code-development-find-improvements-and-c,,A,Internal task succeeded after reroutes (likely research/analysis only),"opencode exit 0: , rerouted to claude",0,0,2,claude,opus,2026-03-28T18:02:12Z
21205,gabrielkoerich/bean,internal:21205,internal,Trading update: manage positions and update prices,internal-21205-trading-update-manage-positions-and-upda,,B,Agent failed after reroutes (final: rate_limit),"kimi rate limit: ,""content"":[{""type"":""text"",""text"":""Failed to authenticate. API Error: 403 {\""error\"":{\""type\"":\""permission_error\"",\""message\"":\""You've reached your usage limit for this billing cycl",0,0,1,claude,opus,2026-03-28T17:30:07Z
21116,gabrielkoerich/orch,internal:21116,internal,Code review,internal-21116-code-review,,B,Agent failed after reroutes (final: rate_limit),"claude rate limit: ing the error.

**#1222** — `classify_run_error_type` has two overly broad matches: `contains(""usage"")` classifies any error mentioning ""usage"" as `rate_limit` (should be `""usage li",0,0,2,claude,sonnet,2026-03-28T17:00:06Z
21052,gabrielkoerich/bean,internal:21052,internal,Trading update: manage positions and update prices,internal-21052-trading-update-manage-positions-and-upda,,B,Agent silent exit 0 (work likely lost),"silent exit 0, retrying with free model opencode/mimo-v2-omni-free",0,0,1,claude,sonnet,2026-03-28T16:30:06Z
20900,gabrielkoerich/bean,internal:20900,internal,Trading update: manage positions and update prices,internal-20900-trading-update-manage-positions-and-upda,,B,Agent silent exit 0 (work likely lost),"silent exit 0, retrying with free model opencode/mimo-v2-pro-free",0,0,1,claude,sonnet,2026-03-28T15:30:03Z
20839,gabrielkoerich/orch,internal:20839,internal,Code development: find improvements and create tasks,internal-20839-code-development-find-improvements-and-c,,A,Internal task (likely research/analysis only),,0,0,1,codex,gpt-5.2-codex,2026-03-28T15:00:08Z
20802,gabrielkoerich/bean,internal:20802,internal,Trading update: manage positions and update prices,internal-20802-trading-update-manage-positions-and-upda,,A,Internal task succeeded after reroutes (likely research/analysis only),"opencode exit 0: , rerouted to claude",0,0,2,claude,sonnet,2026-03-28T14:30:07Z
20782,gabrielkoerich/orch,internal:20782,internal,Respond to mention by @gabrielkoerich,internal-20782-respond-to-mention-by-gabrielkoerich,,A,Internal task (likely research/analysis only),,0,0,1,codex,gpt-5.2-codex,2026-03-28T14:15:20Z
20656,gabrielkoerich/bean,internal:20656,internal,Trading update: manage positions and update prices,internal-20656-trading-update-manage-positions-and-upda,,A,Internal task succeeded after reroutes (likely research/analysis only),"opencode exit 0: , rerouted to claude",0,0,2,claude,sonnet,2026-03-28T13:30:07Z
20576,gabrielkoerich/bean,internal:20576,internal,Trading update: manage positions and update prices,internal-20576-trading-update-manage-positions-and-upda,,A,Internal task succeeded after reroutes (likely research/analysis only),"opencode exit 0: , rerouted to claude",0,0,2,claude,sonnet,2026-03-28T12:30:07Z
20524,gabrielkoerich/bean,internal:20524,internal,Trading update: manage positions and update prices,internal-20524-trading-update-manage-positions-and-upda,,A,Internal task (likely research/analysis only),,0,0,1,codex,gpt-5.2-codex,2026-03-28T11:42:58Z
20404,gabrielkoerich/orch,internal:20404,internal,Self-improvement: debug agent errors and fix root causes,internal-20404-self-improvement-debug-agent-errors-and,,A,Internal task succeeded after reroutes (likely research/analysis only),"minimax rate limit: https://github.com/gabrielkoerich/orch/issues/1170)** — MEDIUM IMPACT
- All 8 kimi review runs failed over 16+ hours with `403: You've reached your usage limit`
- Also 5 agent rout",0,0,2,claude,sonnet,2026-03-28T11:09:52Z
20402,gabrielkoerich/orch,internal:20402,internal,Code review,internal-20402-code-review,,A,Internal task (likely research/analysis only),,0,0,2,codex,gpt-5.2-codex,2026-03-28T11:09:52Z
20379,gabrielkoerich/bean,internal:20379,internal,Trading update: manage positions and update prices,internal-20379-trading-update-manage-positions-and-upda,,A,Internal task (likely research/analysis only),,0,0,1,claude,sonnet,2026-03-28T06:30:02Z
20346,gabrielkoerich/orch,internal:20346,internal,Code development: find improvements and create tasks,internal-20346-code-development-find-improvements-and-c,,B,Agent silent exit 0 (work likely lost),"silent exit 0, retrying with free model opencode/mimo-v2-omni-free",0,0,1,minimax,opus,2026-03-28T06:00:01Z
20343,gabrielkoerich/bean,internal:20343,internal,Trading update: manage positions and update prices,internal-20343-trading-update-manage-positions-and-upda,,A,Internal task succeeded after reroutes (likely research/analysis only),"kimi rate limit: ,""content"":[{""type"":""text"",""text"":""Failed to authenticate. API Error: 403 {\""error\"":{\""type\"":\""permission_error\"",\""message\"":\""You've reached your usage limit for this billing cycl",0,0,2,claude,sonnet,2026-03-28T05:30:01Z
20336,gabrielkoerich/bean,internal:20336,internal,Trading update: manage positions and update prices,internal-20336-trading-update-manage-positions-and-upda,,A,Internal task succeeded after reroutes (likely research/analysis only),"opencode exit 0: , rerouted to claude",0,0,2,claude,sonnet,2026-03-28T04:30:01Z
20330,gabrielkoerich/bean,internal:20330,internal,Trading update: manage positions and update prices,internal-20330-trading-update-manage-positions-and-upda,,A,Internal task succeeded after reroutes (likely research/analysis only),"opencode exit 0: , rerouted to claude",0,0,2,claude,sonnet,2026-03-28T03:30:01Z
20308,gabrielkoerich/bean,internal:20308,internal,Trading update: manage positions and update prices,internal-20308-trading-update-manage-positions-and-upda,,A,Internal task (likely research/analysis only),,0,0,1,codex,gpt-5.2-codex,2026-03-28T02:30:01Z
20240,gabrielkoerich/bean,internal:20240,internal,Trading update: manage positions and update prices,internal-20240-trading-update-manage-positions-and-upda,,A,Internal task (likely research/analysis only),,0,0,1,claude,sonnet,2026-03-28T01:30:05Z
19866,gabrielkoerich/bean,internal:19866,internal,Trading update: manage positions and update prices,internal-19866-trading-update-manage-positions-and-upda,,A,Internal task succeeded after reroutes (likely research/analysis only),"kimi rate limit: ,""content"":[{""type"":""text"",""text"":""Failed to authenticate. API Error: 403 {\""error\"":{\""type\"":\""permission_error\"",\""message\"":\""You've reached your usage limit for this billing cycl",0,0,2,claude,sonnet,2026-03-27T23:30:08Z
19707,gabrielkoerich/bean,internal:19707,internal,Trading update: manage positions and update prices,internal-19707-trading-update-manage-positions-and-upda,,A,Internal task succeeded after reroutes (likely research/analysis only),"opencode exit 0: , rerouted to claude",0,0,3,claude,opus,2026-03-27T22:30:01Z
19586,gabrielkoerich/bean,internal:19586,internal,Trading update: manage positions and update prices,internal-19586-trading-update-manage-positions-and-upda,,A,Internal task succeeded after reroutes (likely research/analysis only),"kimi rate limit: ,""content"":[{""type"":""text"",""text"":""Failed to authenticate. API Error: 403 {\""error\"":{\""type\"":\""permission_error\"",\""message\"":\""You've reached your usage limit for this billing cycl",0,0,2,claude,sonnet,2026-03-27T21:30:21Z
19407,gabrielkoerich/bean,internal:19407,internal,Trading update: manage positions and update prices,internal-19407-trading-update-manage-positions-and-upda,,B,Agent silent exit 0 (work likely lost),"silent exit 0, retrying with free model opencode/mimo-v2-omni-free",0,0,2,opencode,opencode/mimo-v2-omni-free,2026-03-27T20:30:00Z
